PopID	lat	long	elev	GBS	Status
13041001	31.133452	-97.7715596	273.6188965	y	seeded
13041002	31.1866071	-97.8099702	222.6694336	y	wild
13041005	31.369562	-96.9085561	131.5852051	y	wild
13041006	31.367867	-96.9011499	152.2532959	y	seeded
13041007	32.2510353	-97.393681	227.7163086	y	wild
13041008	32.2137304	-97.3783221	212.0949707	y	seeded
13041009	31.8849359	-98.875908	500.2479248	n	wild
13041101	30.8178527	-99.2251433	524.2807617	y	wild
13041102	30.798847	-99.2566649	503.8529053	y	seeded
13041103	30.7125371	-98.8839026	351.7254639	y	wild
13041104	30.7455752	-98.8771904	385.1309814	y	seeded
13041105	30.3281236	-98.469386	372.8742676	y	wild
13041106	30.3432919	-98.4811191	405.3184814	n	wild
13041107	30.3135971	-98.3920501	366.385376	y	seeded
13041201	29.6821601	-98.3521146	296.2097168	y	wild
13041202	29.6932109	-98.3318943	285.8756104	y	seeded
13041203	29.8940784	-98.048842	268.331665	y	wild
13041204	29.9174533	-98.0418089	295.7290039	y	seeded
13041205	30.0832301	-99.5002894	658.3835449	y	wild
13041301	30.1380461	-99.5777159	661.0273438	y	seeded
13041303	30.301763	-97.9166233	233.4841309	y	wild
13041304	30.3088421	-97.9197541	268.0914307	y	seeded
13041305	30.222418	-98.768512	NA	n	seeded
13041601	30.38777	-97.728286	NA	y	wild
13041602	30.396332	-97.733012	NA	y	seeded
13041603	30.181355	-97.867504	NA	y	wild
13041604	30.201435	-97.864791	NA	y	seeded
